ID,时间,分类,类型,金额,币种,账户1,账户2,备注,已报销,关联账单
qj165534069960914773,2022/6/14 10:18,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165564904949413730,2022/6/14 22:30,其它,转账,200,CNY,支付宝,基金,,,
qj165534066442116356,2022/6/15 8:50,做饭,支出,6.5,CNY,邮政储蓄,,,,
qj165534066814919235,2022/6/15 8:51,做饭,支出,12.9,CNY,邮政储蓄,,,,
qj165534067258317815,2022/6/15 8:51,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165534067377217607,2022/6/15 8:51,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165534192092619810,2022/6/16 9:11,三餐,支出,5.5,CNY,邮政储蓄,,,,
qj165537679950318989,2022/6/16 18:53,三餐,支出,13,CNY,邮政储蓄,,,,
qj165539140326012749,2022/6/16 22:56,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165539140492019576,2022/6/16 22:56,交通,支出,2,CNY,微信,,,,
qj165539142427510825,2022/6/16 22:57,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165539238800217331,2022/6/16 23:13,三餐,支出,8,CNY,邮政储蓄,,,,
qj165539239149519621,2022/6/16 23:13,饮料,支出,3.5,CNY,邮政储蓄,,,,
qj165564865243218182,2022/6/16 23:13,理发,支出,25,CNY,邮政储蓄,,,,
qj165543902656416567,2022/6/17 12:10,三餐,支出,5.5,CNY,邮政储蓄,,,,
qj165545345397814475,2022/6/17 16:10,三餐,支出,6.07,CNY,邮政储蓄,,,,
qj165564745307217260,2022/6/17 22:04,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165547476831511751,2022/6/17 22:06,三餐,支出,138,CNY,邮政储蓄,,,,
qj165564745226411256,2022/6/17 22:06,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165553364353614353,2022/6/18 14:27,三餐,支出,7,CNY,邮政储蓄,,,,
qj165553364805019674,2022/6/18 14:27,饮料,支出,6,CNY,邮政储蓄,,,,
qj165564752643012038,2022/6/18 22:05,交通,支出,107.9,CNY,邮政储蓄,,顺风车,,
qj165564753952017545,2022/6/18 22:05,话费网费,支出,50,CNY,邮政储蓄,,,,
qj165564778772718483,2022/6/18 22:09,娱乐,支出,131.8,CNY,邮政储蓄,,,,
qj165564780327312763,2022/6/18 22:10,三餐,支出,62.13,CNY,邮政储蓄,,,,
qj165564754618416879,2022/6/19 22:05,三餐,支出,31,CNY,邮政储蓄,,,,
qj165564755337312002,2022/6/19 22:05,做饭,支出,21.1,CNY,邮政储蓄,,鸡胸肉15.1，黄瓜1.2，红薯4.8，,,
qj165564768900310786,2022/6/19 22:08,做饭,支出,12.8,CNY,邮政储蓄,,蒸盘,,
qj165564770028512387,2022/6/19 22:08,饮料,支出,10.8,CNY,邮政储蓄,,凉粉,,
qj165564811340419455,2022/6/19 22:15,做饭,支出,117.32,CNY,邮政储蓄,,美团优选,,
qj165564832107517839,2022/6/19 22:18,做饭,支出,0.3,CNY,微信,,美团优选省钱卡,,
qj165564906044018746,2022/6/19 22:31,利息,收入,0.3,CNY,支付宝,,,,
qj165571611491413225,2022/6/20 17:07,其它,收入,227,CNY,邮政储蓄,,退教材费,,
qj165577398930716414,2022/6/20 17:08,做饭,支出,0.5,CNY,邮政储蓄,,,,
qj165577399855118576,2022/6/20 21:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165577400012912367,2022/6/20 21:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165577433364416925,2022/6/21 9:18,其它,支出,0.23,CNY,微信,,提现手续费,,
qj165577434000816716,2022/6/21 9:19,其它,转账,0.8,CNY,微信,邮政储蓄,,,
qj165577438901312275,2022/6/21 9:19,利息,收入,2.33,CNY,邮政储蓄,,,,
qj165577439958519428,2022/6/21 9:19,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165582100878516920,2022/6/21 22:16,做饭,支出,6.9,CNY,邮政储蓄,,,,
qj165582101457910874,2022/6/21 22:16,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165745962227111725,2022/6/21 22:16,利息,收入,0.21,CNY,招商储蓄,,,,
qj165587250710513251,2022/6/22 12:34,其它,支出,57.23,CNY,支付宝,,,,
qj165590679056410395,2022/6/22 22:06,做饭,支出,18.8,CNY,邮政储蓄,,鸡蛋,,
qj165590679796619869,2022/6/22 22:06,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165590679925611225,2022/6/22 22:06,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165595808990315312,2022/6/23 12:21,三餐,支出,14,CNY,邮政储蓄,,,,
qj165597239062714618,2022/6/23 16:19,三餐,支出,6.07,CNY,邮政储蓄,,,,
qj165597979570116573,2022/6/23 18:23,三餐,支出,9.9,CNY,邮政储蓄,,,,
qj165598014042611047,2022/6/23 18:29,三餐,支出,9.9,CNY,邮政储蓄,,,,
qj165598540335715877,2022/6/23 19:56,三餐,支出,4,CNY,邮政储蓄,,,,
qj165599328720814465,2022/6/23 22:08,做饭,支出,5.4,CNY,邮政储蓄,,,,
qj165599329232617154,2022/6/23 22:08,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165599329329817858,2022/6/23 22:08,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165605868140118713,2022/6/24 16:17,三餐,支出,8.8,CNY,邮政储蓄,,,,
qj165611546594717267,2022/6/24 16:18,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165611546673713894,2022/6/24 20:04,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165611545644214664,2022/6/25 8:04,饮料,支出,2,CNY,邮政储蓄,,,,
qj165611545832415518,2022/6/25 8:04,三餐,支出,6,CNY,邮政储蓄,,,,
qj165616524755318439,2022/6/25 21:54,三餐,支出,48.5,CNY,邮政储蓄,,,,
qj165625259340815646,2022/6/25 22:09,交通,支出,1.8,CNY,邮政储蓄,,,,
qj165625259438213721,2022/6/25 22:09,交通,支出,1.8,CNY,邮政储蓄,,,,
qj165625259674812685,2022/6/25 22:09,交通,支出,0.01,CNY,邮政储蓄,,,,
qj165625260810612790,2022/6/26 22:10,饮料,支出,6,CNY,邮政储蓄,,,,
qj165625261564913142,2022/6/26 22:10,三餐,支出,7,CNY,邮政储蓄,,,,
qj165625262024412663,2022/6/26 22:10,三餐,支出,12,CNY,邮政储蓄,,,,
qj165642984098514738,2022/6/26 23:24,饮料,支出,2.5,CNY,邮政储蓄,,,,
qj165642988220319103,2022/6/26 23:24,做饭,支出,5.5,CNY,邮政储蓄,,,,
qj165634468509413679,2022/6/27 23:44,其它,支出,7,CNY,邮政储蓄,,,,
qj165634469114119078,2022/6/27 23:44,做饭,支出,6.9,CNY,邮政储蓄,,,,
qj165634469459716546,2022/6/27 23:44,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165634469721019385,2022/6/27 23:44,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165638353692916496,2022/6/28 10:32,三餐,支出,7,CNY,邮政储蓄,,,,
qj165640414045319454,2022/6/28 16:15,三餐,支出,5.98,CNY,邮政储蓄,,,,
qj165642877351911015,2022/6/28 23:06,日用品,支出,12.8,CNY,邮政储蓄,,牙膏,,
qj165642878545718492,2022/6/28 23:06,做饭,支出,5,CNY,邮政储蓄,,,,
qj165642880032118195,2022/6/28 23:06,三餐,支出,140,CNY,邮政储蓄,,柴火鸡,,
qj165642881273613044,2022/6/28 23:06,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165642881339016382,2022/6/28 23:06,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165642898204111024,2022/6/28 23:09,运动,支出,40,CNY,支付宝,,游泳票,,
qj165642906357314382,2022/6/28 23:11,其它,转账,400,CNY,支付宝,基金,,,
qj165642908482019890,2022/6/28 23:11,利息,收入,0.18,CNY,支付宝,,,,
qj165642917546914638,2022/6/28 23:12,其它,收入,0.65,CNY,支付宝,,,,
qj165649460728810098,2022/6/29 17:23,三餐,支出,8.8,CNY,邮政储蓄,,,,
qj165649461281811312,2022/6/29 17:23,三餐,支出,4.84,CNY,邮政储蓄,,,,
qj165649468268912558,2022/6/29 17:24,其它,转账,150,CNY,邮政储蓄,基金,,,
qj165649468501313499,2022/6/29 17:24,其它,转账,150,CNY,邮政储蓄,基金,,,
qj165654686931213464,2022/6/29 17:24,饮料,支出,3.19,CNY,邮政储蓄,,,,
qj165654687558619809,2022/6/29 17:24,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165654687998016018,2022/6/29 19:54,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165655615104414584,2022/6/30 10:29,三餐,支出,7,CNY,邮政储蓄,,,,
qj165656302178514649,2022/6/30 12:23,三餐,支出,18,CNY,邮政储蓄,,,,
qj165656302524618180,2022/6/30 12:23,零食,支出,4,CNY,邮政储蓄,,,,
qj165658503767512407,2022/6/30 18:30,零食,支出,6.07,CNY,邮政储蓄,,,,
qj165677511334614371,2022/6/30 23:18,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165677511435311223,2022/6/30 23:18,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165677518372217659,2022/6/30 23:19,做饭,支出,6.6,CNY,邮政储蓄,,,,
qj165677524359216803,2022/6/30 23:20,利息,收入,4.3,CNY,支付宝,,,,
qj165674137293218487,2022/7/1 13:56,三餐,支出,5,CNY,邮政储蓄,,,,
qj165674137573115543,2022/7/1 13:56,交通,支出,6,CNY,邮政储蓄,,,,
qj165674137659015556,2022/7/1 13:56,交通,支出,6,CNY,邮政储蓄,,,,
qj165674137956914387,2022/7/1 13:56,三餐,支出,20,CNY,邮政储蓄,,,,
qj165674138201118993,2022/7/1 13:56,饮料,支出,4.5,CNY,邮政储蓄,,,,
qj165674138596311667,2022/7/2 13:56,三餐,支出,30,CNY,邮政储蓄,,,,
qj165674139838014315,2022/7/2 13:56,交通,支出,0.99,CNY,邮政储蓄,,7月月票,,
qj165677468218512777,2022/7/2 23:11,三餐,支出,26.99,CNY,邮政储蓄,,,,
qj165677474059319043,2022/7/2 23:12,做饭,支出,21.77,CNY,邮政储蓄,,,,
qj165683367987111035,2022/7/3 15:34,住房,支出,1298,CNY,邮政储蓄,,7月房租，加6月水电网费,,
qj165683737704417512,2022/7/3 16:36,三餐,支出,15,CNY,邮政储蓄,,,,
qj165683737945418867,2022/7/3 16:36,做饭,支出,8,CNY,邮政储蓄,,,,
qj165683738600416145,2022/7/3 16:36,做饭,支出,19.6,CNY,邮政储蓄,,,,
qj165686138525916456,2022/7/3 23:16,水果,支出,14.5,CNY,邮政储蓄,,,,
qj165690833051512200,2022/7/4 12:18,三餐,支出,4.5,CNY,邮政储蓄,,,,
qj165692252433916733,2022/7/4 16:15,三餐,支出,12,CNY,邮政储蓄,,,,
qj165745947067115180,2022/7/4 21:24,饮料,支出,3.19,CNY,邮政储蓄,,,,
qj165695025473610291,2022/7/4 23:57,三餐,支出,16,CNY,邮政储蓄,,,,
qj165695026076215204,2022/7/4 23:57,其它,转账,8,CNY,邮政储蓄,微信,,,
qj165695026843214250,2022/7/4 23:57,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165695026908516425,2022/7/4 23:57,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165745946774916210,2022/7/4 23:57,做饭,支出,50.65,CNY,邮政储蓄,,,,
qj165700974737313730,2022/7/5 16:29,三餐,支出,16.3,CNY,邮政储蓄,,,,
qj165702225268113498,2022/7/5 19:57,做饭,支出,12.92,CNY,邮政储蓄,,,,
qj165706698377713489,2022/7/5 19:57,三餐,支出,12,CNY,邮政储蓄,,,,
qj165706698968517405,2022/7/5 19:57,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165706699128418953,2022/7/5 20:23,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165711888145016650,2022/7/5 22:48,三餐,支出,4.5,CNY,微信,,,,
qj165706992103714198,2022/7/6 9:11,三餐,支出,7,CNY,邮政储蓄,,,,
qj165709752204512902,2022/7/6 16:52,三餐,支出,14.9,CNY,邮政储蓄,,,,
qj165711875343618182,2022/7/6 22:45,三餐,支出,18,CNY,邮政储蓄,,,,
qj165711875666112348,2022/7/6 22:45,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165711875852619048,2022/7/6 22:45,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165711875999716570,2022/7/6 22:45,交通,支出,2,CNY,微信,,,,
qj165711884403117974,2022/7/6 22:47,饮料,支出,3.5,CNY,邮政储蓄,,,,
qj165720313853818071,2022/7/7 22:12,工资,收入,4506.82,CNY,招商储蓄,,,,
qj165720314698619709,2022/7/7 22:12,其它,转账,1000,CNY,招商储蓄,邮政储蓄,,,
qj165720316124411921,2022/7/7 22:12,三餐,支出,6.5,CNY,邮政储蓄,,,,
qj165720316623011018,2022/7/7 22:12,三餐,支出,22,CNY,邮政储蓄,,,,
qj165720316826415808,2022/7/7 22:12,三餐,支出,116,CNY,邮政储蓄,,,,
qj165720317088115688,2022/7/7 22:12,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165720317155117944,2022/7/7 22:12,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165745907553414609,2022/7/7 22:12,做饭,支出,2,CNY,邮政储蓄,,,,
qj165794188572212008,2022/7/7 22:12,其它,转账,50,CNY,支付宝,基金,,,
qj165745848084619410,2022/7/8 21:07,三餐,支出,10,CNY,邮政储蓄,,,,
qj165745856526912448,2022/7/8 21:09,三餐,支出,23.68,CNY,邮政储蓄,,,,
qj165745859328817812,2022/7/8 21:09,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165745859462619006,2022/7/8 21:09,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165745859582717383,2022/7/8 21:09,交通,支出,2,CNY,邮政储蓄,,,,
qj165745877904218939,2022/7/8 21:12,其它,转账,1000,CNY,招商储蓄,邮政储蓄,,,
qj165745849016817767,2022/7/9 21:08,三餐,支出,18,CNY,邮政储蓄,,,,
qj165745860694319913,2022/7/9 21:10,交通,支出,1.8,CNY,邮政储蓄,,,,
qj165745861174218945,2022/7/9 21:10,交通,支出,1.35,CNY,邮政储蓄,,,,
qj165745861853615442,2022/7/9 21:10,交通,支出,1.8,CNY,邮政储蓄,,,,
qj165745862125317456,2022/7/9 21:10,饮料,支出,4,CNY,邮政储蓄,,,,
qj165745867009411632,2022/7/9 21:10,三餐,支出,10,CNY,邮政储蓄,,,,
qj165745867076617831,2022/7/9 21:11,三餐,支出,5,CNY,邮政储蓄,,,,
qj165745869383018464,2022/7/9 21:11,饮料,支出,12,CNY,邮政储蓄,,,,
qj165745878366815069,2022/7/9 21:13,其它,转账,1000,CNY,招商储蓄,邮政储蓄,,,
qj165745869972119549,2022/7/10 21:11,三餐,支出,18,CNY,邮政储蓄,,,,
qj165745870183416606,2022/7/10 21:11,三餐,支出,12,CNY,邮政储蓄,,,,
qj165745870721810100,2022/7/10 21:11,做饭,支出,3,CNY,邮政储蓄,,,,
qj165745871126613500,2022/7/10 21:11,做饭,支出,14,CNY,邮政储蓄,,,,
qj165745878638519088,2022/7/10 21:13,其它,转账,1000,CNY,招商储蓄,邮政储蓄,,,
qj165746685090110911,2022/7/10 23:27,三餐,支出,10,CNY,邮政储蓄,,,,
qj165746685274915529,2022/7/10 23:27,三餐,支出,5,CNY,邮政储蓄,,,,
qj165755594970415066,2022/7/11 12:12,三餐,支出,5,CNY,邮政储蓄,,,,
qj165755595030410823,2022/7/11 12:12,三餐,支出,5,CNY,邮政储蓄,,,,
qj165755595131010475,2022/7/11 12:12,三餐,支出,7,CNY,邮政储蓄,,,,
qj165755595181413076,2022/7/11 12:12,三餐,支出,7,CNY,邮政储蓄,,,,
qj165755596072818667,2022/7/11 12:12,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165751321325917030,2022/7/11 12:20,三餐,支出,5,CNY,邮政储蓄,,,,
qj165752909167614792,2022/7/11 16:44,三餐,支出,14.11,CNY,邮政储蓄,,,,
qj165755594705119841,2022/7/11 16:44,饮料,支出,5,CNY,邮政储蓄,,,,
qj165755595963716126,2022/7/11 16:44,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165755601148915383,2022/7/12 0:13,其它,转账,507.03,CNY,招商储蓄,邮政储蓄,,,
qj165763130082418106,2022/7/12 21:08,三餐,支出,16,CNY,邮政储蓄,,,,
qj165763130714010516,2022/7/12 21:08,其它,转账,8,CNY,邮政储蓄,微信,,,
qj165763130998010672,2022/7/12 21:08,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165763131091815409,2022/7/12 21:08,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165764068489915497,2022/7/12 23:44,水果,支出,21,CNY,邮政储蓄,,,,
qj165764072256615710,2022/7/12 23:45,三餐,支出,12,CNY,邮政储蓄,,,,
qj165764073532910577,2022/7/12 23:45,三餐,支出,6.5,CNY,邮政储蓄,,,,
qj165770021826417660,2022/7/13 16:16,三餐,支出,6,CNY,微信,,,,
qj165770022014214503,2022/7/13 16:17,三餐,支出,18,CNY,邮政储蓄,,,,
qj165771164666218510,2022/7/13 19:27,三餐,支出,47.5,CNY,邮政储蓄,,,,
qj165775770018016689,2022/7/13 19:27,三餐,支出,10,CNY,邮政储蓄,,,,
qj165775770788516956,2022/7/13 20:15,做饭,支出,14.7,CNY,邮政储蓄,,,,
qj165775777548215224,2022/7/13 20:15,交通,支出,1.8,CNY,邮政储蓄,,,,
qj165775777783110967,2022/7/13 20:16,交通,支出,5,CNY,邮政储蓄,,,,
qj165775781826911853,2022/7/13 20:16,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165927248245211214,2022/7/14 21:01,其它,收入,0.37,CNY,支付宝,,,,
qj165780556897719975,2022/7/14 21:32,三餐,支出,9.9,CNY,邮政储蓄,,,,
qj165780557449716115,2022/7/14 21:32,做饭,支出,5,CNY,邮政储蓄,,,,
qj165780557578817122,2022/7/14 21:32,做饭,支出,10,CNY,邮政储蓄,,,,
qj165780557746818022,2022/7/14 21:32,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165780557833915947,2022/7/14 21:32,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165781033723714232,2022/7/14 22:52,零食,支出,3,CNY,微信,,,,
qj165786757646713329,2022/7/15 14:46,三餐,支出,4,CNY,邮政储蓄,,,,
qj165794190461613000,2022/7/15 14:46,饮料,支出,1.41,CNY,支付宝,,,,
qj165856803116011659,2022/7/15 17:20,其它,转账,20,CNY,支付宝,微信,,,
qj165794191031111002,2022/7/15 23:25,交通,支出,9.03,CNY,支付宝,,,,
qj165794192643814677,2022/7/15 23:25,其它,收入,200,CNY,微信,,,,
qj165794195220419254,2022/7/15 23:25,水果,支出,119.4,CNY,邮政储蓄,,榴莲，1斤18.8,,
qj165794196551712531,2022/7/15 23:25,零食,支出,13.88,CNY,邮政储蓄,,雪糕,,
qj165794198447912528,2022/7/15 23:25,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165794198695015337,2022/7/15 23:26,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165794205457917968,2022/7/15 23:26,交通,支出,1.34,CNY,邮政储蓄,,,,
qj165794209141510120,2022/7/15 23:26,交通,支出,2,CNY,邮政储蓄,,,,
qj165810590817710895,2022/7/16 8:58,三餐,支出,15,CNY,微信,,,,
qj165810592370011842,2022/7/16 8:58,理发,支出,25,CNY,微信,,,,
qj165810597903312904,2022/7/16 8:59,三餐,支出,18.34,CNY,邮政储蓄,,,,
qj165810600311512712,2022/7/17 8:59,三餐,支出,14.5,CNY,邮政储蓄,,,,
qj165810601038013270,2022/7/17 9:00,三餐,支出,14,CNY,微信,,,,
qj165810601838113321,2022/7/17 9:00,饮料,支出,6,CNY,微信,,,,
qj165810602854916384,2022/7/17 9:00,三餐,支出,3,CNY,微信,,,,
qj165810603415111439,2022/7/17 9:00,做饭,支出,3.8,CNY,邮政储蓄,,,,
qj165810604035118167,2022/7/17 9:00,水果,支出,11.9,CNY,微信,,,,
qj165819013322210328,2022/7/18 8:22,三餐,支出,10.56,CNY,邮政储蓄,,,,
qj165819014301916017,2022/7/18 8:22,交通,支出,1.5,CNY,微信,,,,
qj165819015122812486,2022/7/18 8:22,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165819015226913939,2022/7/18 8:22,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165819016653814719,2022/7/18 8:22,三餐,支出,4.48,CNY,支付宝,,,,
qj165856695322114105,2022/7/19 17:02,三餐,支出,6,CNY,微信,,,,
qj165856695497812235,2022/7/19 17:02,三餐,支出,18,CNY,邮政储蓄,,,,
qj165856696123516633,2022/7/19 17:02,三餐,支出,4.84,CNY,邮政储蓄,,,,
qj165856696559616001,2022/7/19 17:02,饮料,支出,4,CNY,邮政储蓄,,,,
qj165856743678018499,2022/7/19 17:10,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856743785818804,2022/7/19 17:10,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856697426416187,2022/7/20 17:02,三餐,支出,6,CNY,邮政储蓄,,,,
qj165856697814912882,2022/7/20 17:02,三餐,支出,20,CNY,邮政储蓄,,,,
qj165856698272710785,2022/7/20 17:03,饮料,支出,3,CNY,邮政储蓄,,,,
qj165856700108912131,2022/7/20 17:03,三餐,支出,14.36,CNY,邮政储蓄,,,,
qj165856700585514545,2022/7/20 17:03,三餐,支出,15,CNY,微信,,,,
qj165856700706910751,2022/7/20 17:03,三餐,支出,5,CNY,微信,,,,
qj165856760860219260,2022/7/20 17:13,其它,转账,28.76,CNY,邮政储蓄,微信,,,
qj165856762661515143,2022/7/20 17:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856762751014569,2022/7/20 17:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856701495016858,2022/7/21 17:03,三餐,支出,13,CNY,邮政储蓄,,,,
qj165856701916612974,2022/7/21 17:03,三餐,支出,4.84,CNY,邮政储蓄,,,,
qj165856702114819503,2022/7/21 17:03,三餐,支出,14,CNY,邮政储蓄,,,,
qj165856702749316299,2022/7/21 17:03,三餐,支出,22.08,CNY,邮政储蓄,,,,
qj165856703742914402,2022/7/21 17:03,三餐,支出,16,CNY,微信,,,,
qj165856763090112619,2022/7/21 17:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856763227716941,2022/7/21 17:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856708021515840,2022/7/22 17:04,三餐,支出,21,CNY,微信,,,,
qj165856709077915855,2022/7/22 17:04,水果,支出,19.9,CNY,邮政储蓄,,,,
qj165856709754513888,2022/7/22 17:04,三餐,支出,10,CNY,微信,,,,
qj165848233761014179,2022/7/22 17:32,其它,转账,13.21,CNY,微信,招商储蓄,,,
qj165848234618417568,2022/7/22 17:32,饮料,支出,13.11,CNY,招商储蓄,,,,
qj165848235357817939,2022/7/22 17:32,其它,支出,0.1,CNY,微信,,,,
qj165848236344210741,2022/7/22 17:32,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856706025318292,2022/7/22 17:32,其它,支出,30,CNY,微信,,腰靠,,
qj165856707178018221,2022/7/22 17:32,三餐,支出,20,CNY,邮政储蓄,,,,
qj165856763496010580,2022/7/22 17:32,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165856710450014755,2022/7/23 17:04,三餐,支出,12,CNY,微信,,,,
qj165856710646511557,2022/7/23 17:05,三餐,支出,12,CNY,微信,,,,
qj165856815466413552,2022/7/23 17:22,饮料,支出,3,CNY,微信,,,,
qj165927169419010823,2022/7/23 20:48,三餐,支出,19.77,CNY,邮政储蓄,,,,
qj165927174720617691,2022/7/24 20:48,做饭,支出,7,CNY,邮政储蓄,,,,
qj165927175511319409,2022/7/24 20:49,饮料,支出,5.44,CNY,邮政储蓄,,,,
qj165927177232311812,2022/7/24 20:49,三餐,支出,3.36,CNY,邮政储蓄,,,,
qj165927177699817734,2022/7/24 20:49,做饭,支出,8,CNY,邮政储蓄,,,,
qj165927233731015930,2022/7/24 20:58,三餐,支出,6,CNY,微信,,,,
qj165927234527318449,2022/7/24 20:59,三餐,支出,5,CNY,微信,,,,
qj165927235202212455,2022/7/24 20:59,水果,支出,7.3,CNY,微信,,,,
qj165927235852212996,2022/7/24 20:59,三餐,支出,10,CNY,微信,,,,
qj165927178452413413,2022/7/25 20:49,三餐,支出,12,CNY,邮政储蓄,,,,
qj165927179489911771,2022/7/25 20:49,饮料,支出,8.62,CNY,邮政储蓄,,,,
qj165927180838116834,2022/7/25 20:50,三餐,支出,16.88,CNY,邮政储蓄,,,,
qj165927181576518955,2022/7/25 20:50,三餐,支出,13,CNY,邮政储蓄,,,,
qj165927181762010715,2022/7/25 20:50,三餐,支出,8.5,CNY,邮政储蓄,,,,
qj165927183131514144,2022/7/26 20:50,交通,支出,1.5,CNY,邮政储蓄,,,,
qj165927184719819418,2022/7/26 20:50,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165927186425014442,2022/7/26 20:51,交通,支出,5,CNY,邮政储蓄,,,,
qj165927187027912462,2022/7/26 20:51,饮料,支出,9,CNY,邮政储蓄,,,,
qj165927187411717921,2022/7/26 20:51,三餐,支出,22.08,CNY,邮政储蓄,,,,
qj165927187799917453,2022/7/26 20:51,三餐,支出,14,CNY,邮政储蓄,,,,
qj165927187958711630,2022/7/26 20:51,三餐,支出,8.5,CNY,邮政储蓄,,,,
qj165927188203913581,2022/7/26 20:51,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165927188431318016,2022/7/26 20:51,交通,支出,1.5,CNY,邮政储蓄,,,,
qj165927189562417800,2022/7/27 20:51,交通,支出,7.8,CNY,邮政储蓄,,,,
qj165927189790012633,2022/7/27 20:51,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165927190003418541,2022/7/27 20:51,三餐,支出,8.5,CNY,邮政储蓄,,,,
qj165927190181014306,2022/7/27 20:51,三餐,支出,18,CNY,邮政储蓄,,,,
qj165927190416112485,2022/7/27 20:51,三餐,支出,21.12,CNY,邮政储蓄,,,,
qj165927191399211410,2022/7/27 20:51,三餐,支出,25.21,CNY,邮政储蓄,,,,
qj165927196657014649,2022/7/27 20:52,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165927237972518623,2022/7/27 20:59,其它,收入,10,CNY,微信,,,,
qj165927238809614547,2022/7/27 20:59,水果,支出,7.8,CNY,微信,,,,
qj165927199089011107,2022/7/28 20:52,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165927199283416706,2022/7/28 20:53,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165927199640018362,2022/7/28 20:53,三餐,支出,6.5,CNY,邮政储蓄,,,,
qj165927199803315161,2022/7/28 20:53,三餐,支出,20,CNY,邮政储蓄,,,,
qj165927200131615320,2022/7/28 20:53,三餐,支出,18,CNY,邮政储蓄,,,,
qj165927201422513754,2022/7/29 20:53,交通,支出,5.4,CNY,邮政储蓄,,,,
qj165927203048612997,2022/7/29 20:53,交通,支出,100,CNY,邮政储蓄,,高铁票，20:51,,
qj165927203585618672,2022/7/29 20:53,饮料,支出,3.5,CNY,邮政储蓄,,,,
qj165927203943218142,2022/7/29 20:53,三餐,支出,12.8,CNY,邮政储蓄,,,,
qj165927205253816254,2022/7/29 20:54,饮料,支出,1,CNY,邮政储蓄,,,,
qj165927205517511127,2022/7/29 20:54,三餐,支出,20,CNY,邮政储蓄,,,,
qj165927205798119981,2022/7/29 20:54,三餐,支出,7,CNY,邮政储蓄,,,,
qj165927206004113055,2022/7/29 20:54,交通,支出,4.5,CNY,邮政储蓄,,,,
qj165927208396618207,2022/7/30 20:54,其它,支出,188,CNY,邮政储蓄,,,,
qj165927209369611704,2022/7/30 20:54,饮料,支出,4,CNY,邮政储蓄,,,,
qj165927209705113500,2022/7/30 20:54,三餐,支出,25,CNY,邮政储蓄,,,,
